,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,소련,0.8421052631578947,소련,0.7916666666666666,미국,0.38430799220272893,소련,0.48632498269657154
1,미국,0.6842105263157894,미국,0.76,소련,0.3178362573099415,미국,0.371278770832159
2,사람,0.5263157894736842,사람,0.6333333333333333,사람,0.0905458089668616,독일,0.3383172856556604
3,독일,0.47368421052631576,독일,0.6129032258064516,국가,0.060623781676413246,사람,0.31453633603691744
4,제국,0.3684210526315789,제국,0.6129032258064516,제국,0.05380116959064326,제국,0.2586151306787614
5,국가,0.3684210526315789,국가,0.6129032258064516,독일,0.022124756335282648,국가,0.2540483277237473
6,인민,0.2631578947368421,인민,0.5757575757575758,인민,0.013645224171539959,인민,0.20948259193882682
7,신문,0.2631578947368421,일본,0.5588235294117647,자본주의,0.009941520467836258,일본,0.19742267923387546
8,흑인,0.21052631578947367,신문,0.5428571428571428,내무,0.005360623781676413,신문,0.19156617880738905
9,일본,0.21052631578947367,내무,0.5135135135135135,세계,0.004093567251461988,파란,0.1878559754263356
