,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,미국,0.6842105263157894,소련,0.7037037037037037,소련,0.48771929824561405,미국,0.5076242452117858
1,소련,0.5789473684210527,미국,0.7037037037037037,미국,0.4859649122807019,소련,0.3614466336264843
2,자유,0.3157894736842105,세계,0.59375,세계,0.06403508771929822,세계,0.3372499903805061
3,세계,0.3157894736842105,경제,0.5277777777777778,국가,0.050682261208576995,경제,0.33516638766075457
4,경제,0.3157894736842105,반대,0.5277777777777778,경제,0.039376218323586745,자유,0.3201938166107287
5,국가,0.2631578947368421,국가,0.5135135135135135,제국,0.023879142300194934,국가,0.24832372834179012
6,대외,0.21052631578947367,자유,0.5,대외,0.020175438596491225,대외,0.22760945421842343
7,제국,0.15789473684210525,대외,0.5,외상,0.01676413255360624,정치,0.18932041697282095
8,정치,0.15789473684210525,정치,0.475,자유,0.009259259259259259,반대,0.15914366943254923
9,평화,0.10526315789473684,제국,0.4634146341463415,정치,0.006822612085769979,제국,0.1518471455461031
