,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,soviet,0.894736842105263,soviet,0.8260869565217391,soviet,0.15435347628330084,people,0.34327729348432895
1,people,0.894736842105263,people,0.8260869565217391,people,0.12030307249605494,soviet,0.32523316052102164
2,war,0.7894736842105263,war,0.76,war,0.08311983662860854,war,0.30311389032001007
3,america,0.7368421052631579,america,0.7307692307692307,america,0.0605402394876079,state,0.29610194607861856
4,state,0.7368421052631579,state,0.7307692307692307,state,0.05810359231411862,america,0.28570180512565113
5,germany,0.6842105263157894,russia,0.7307692307692307,russia,0.03198273461431356,germany,0.28463129064703085
6,russia,0.631578947368421,germany,0.7037037037037037,germany,0.02969460688758934,russia,0.28134905834539126
7,fact,0.631578947368421,fact,0.6785714285714286,ministry,0.01530214424951267,fact,0.27473580686589544
8,man,0.5263157894736842,man,0.6333333333333333,plant,0.014327485380116956,nation,0.22828796813617527
9,nation,0.42105263157894735,nation,0.6333333333333333,fact,0.012408335653949689,man,0.22023551480765932
