,Word,Degree Centrality,Word,Closeness Centrality,Word,Betweenness Centrality,Word,Eigenvector Centrality
0,state,0.7333333333333333,state,0.7142857142857143,america,0.34693877551020413,state,0.4241164373960832
1,war,0.6666666666666666,soviet,0.6521739130434783,state,0.20834879406307977,war,0.39866279360407114
2,soviet,0.6,war,0.625,war,0.12502576788291075,soviet,0.38323719048575133
3,year,0.5333333333333333,america,0.625,soviet,0.11947021232735519,government,0.34750883393024223
4,government,0.5333333333333333,policy,0.6,year,0.07809729952587097,policy,0.30932787765553155
5,america,0.5333333333333333,proposal,0.5769230769230769,policy,0.04724799010513296,year,0.2992944932413614
6,policy,0.4666666666666667,year,0.5769230769230769,proposal,0.03036487322201608,force,0.2386952460807895
7,force,0.3333333333333333,government,0.5555555555555556,government,0.026046176046176043,proposal,0.20254716785059235
8,proposal,0.26666666666666666,balance,0.5172413793103449,balance,0.016883116883116885,america,0.18808664167602032
9,aid,0.2,aid,0.5,towards,0.016883116883116885,aid,0.16690712100953625
